City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,ust'-ordynskiy,52.805,104.7508,6.95,89,100,3.49,RU,1695785585
117,albany,42.6001,-73.9662,11.13,92,98,0.45,US,1695785289
118,namibe,-15.1961,12.1522,17.59,92,13,2.19,AO,1695785586
119,margaret river,-33.95,115.0667,22.88,51,0,5.06,AU,1695785586
120,vila franca do campo,37.7167,-25.4333,22.23,92,99,2.02,PT,1695785586
121,alice springs,-23.7,133.8833,31.75,13,5,3.09,AU,1695785586
122,bikenibeu village,1.3673,173.1241,30.98,70,40,3.09,KI,1695785587
123,isafjordur,66.0755,-23.124,4.54,98,100,13.87,IS,1695785587
124,livingstonia,-10.606,34.1063,17.21,72,1,0.69,MW,1695785587
125,lihue,21.9789,-159.3672,29.58,68,40,8.75,US,1695785471
126,la paz,-16.5,-68.15,11.99,57,20,1.34,BO,1695785332
127,winnemucca,40.973,-117.7357,18.03,27,0,3.6,US,1695785588
128,fale old settlement,-9.3852,-171.2468,28.39,77,50,5.97,TK,1695785588
129,ormara,25.2088,64.6357,27.2,65,4,1.83,PK,1695785588
130,georgetown,5.4112,100.3354,32.19,75,20,4.63,MY,1695785589
131,erndtebruck,50.9833,8.2667,11.75,100,50,0.85,DE,1695785589
132,maxixe,-23.8597,35.3472,22.9,88,75,0.0,MZ,1695785589
133,buckeye,33.3703,-112.5838,35.13,15,0,3.6,US,1695785556
134,pangody,65.85,74.4859,2.6,66,94,0.87,RU,1695785590
135,aasiaat,68.7098,-52.8699,-4.06,76,100,4.95,GL,1695785590
136,holualoa,19.6228,-155.9522,25.91,71,75,3.09,US,1695785590
137,salekhard,66.53,66.6019,5.41,94,100,1.21,RU,1695785591
138,kaiapoi,-43.3783,172.6401,9.2,87,100,7.72,NZ,1695785591
139,yueyang,29.3333,113.0919,29.66,57,0,1.24,CN,1695785524
140,nar'yan-mar,67.6713,53.087,4.14,92,98,6.54,RU,1695785591
141,weiser,44.251,-116.9693,16.11,45,43,0.45,US,1695785591
142,hithadhoo,-0.6,73.0833,28.1,70,11,5.84,MV,1695785592
143,jamestown,42.097,-79.2353,13.9,89,100,4.12,US,1695785575
144,horta,38.5333,-28.6333,18.34,86,98,1.79,PT,1695785592
145,ksar chellala,35.2122,2.3189,16.07,55,0,2.12,DZ,1695785592
146,san luis,-33.295,-66.3356,8.29,33,0,2.93,AR,1695785295
147,inirida,3.8653,-67.9239,25.09,88,59,1.18,CO,1695785593
148,vorgashor,67.5833,63.95,1.53,95,100,4.8,RU,1695785593
149,abepura,-2.6333,140.5833,28.45,74,20,3.09,ID,1695785593
150,ust-nera,64.5667,143.2,6.64,79,84,3.53,RU,1695785593
151,punta arenas,-53.15,-70.9167,2.06,93,75,2.06,CL,1695785535
152,qamdo,31.1667,97.2333,12.49,40,3,2.16,CN,1695785594
153,tralee,52.2704,-9.7026,13.11,90,100,6.31,IE,1695785553
154,abu dhabi,24.4667,54.3667,32.19,29,0,3.6,AE,1695785582
155,acarau,-2.8856,-40.12,26.17,75,13,6.6,BR,1695785595
156,talen,23.5667,76.7167,27.99,74,15,1.61,IN,1695785595
157,al ghayzah,16.2079,52.176,27.4,68,84,2.21,YE,1695785595
158,genhe,50.7833,121.5167,11.18,54,77,3.96,CN,1695785595
159,osakarovka,50.565,72.5692,17.43,55,97,3.61,KZ,1695785596
